"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0032943","GO:0032943","mononuclear cell proliferation","96/2093","326/18384",0.294478527607362,2.58657107096691,10.3598255620595,3.76847515410357e-19,2.0137360868928e-16,1.43382365671921e-16,"Cd28/Slc11a1/Inpp5d/Cxcr4/Il10/Rassf5/Ptprc/Fcgr2b/Spta1/Prkcq/Mapk8ip1/Cd44/Rasgrp1/Il1b/Ada/Cd40/Nfatc2/Sash3/Elf4/Btk/Ptpn22/Vav3/Lyn/Laptm5/Tnfrsf1b/Bst1/P2rx7/Card11/Lep/Gpnmb/Ptpn6/Tgfb1/Tyrobp/Cd22/Cd37/Lrrc32/Coro1a/Spn/Itgal/Pycard/Itgam/Itgad/Tspan32/Zc3h12d/Arg1/Cd24a/Lilrb4b/Lilrb4a/Gja1/Vsir/Itgb2/Cnn2/Irs2/Adk/Prkcd/Lgals3/Ripk3/Gpr183/Tlr9/Dock2/Havcr2/Tnfrsf13b/Slfn2/Ccl5/Ccr7/Slc4a1/Cd300a/Syk/Cd180/Gapt/Fkbp1b/Il7r/Rac2/Nckap1l/St6gal1/Cd86/Cd80/Rasal3/H2-DMb2/H2-DMb1/H2-Aa/Cfb/Aif1/Lst1/H2-M3/Tnfrsf21/Plcl2/Ebi3/Cd74/Csf1r/Ccdc88b/Cd6/Anxa1/Dock8/Lipa/Gpam",96
"GO:0006935","GO:0006935","chemotaxis","115/2093","431/18384",0.266821345707657,2.34364243644986,10.1174896161791,5.87267826919414e-19,2.8766335721936e-16,2.04822533318561e-16,"Nrp2/Fn1/Gpr35/Cxcr4/Fcgr3/Fcer1g/Slamf9/Slamf8/Camk1d/Prkcq/Tnfaip6/Ptprj/Spi1/Mdk/Thbs1/Il1b/Lbp/Prex1/Cxcr3/Cysltr1/Amot/S100a4/S100a8/Vav3/Ccn1/Lyn/Lpar1/Pde4b/Csf3r/Ptafr/Cnr2/Padi2/Pik3cd/Bst1/Stap1/Pf4/Cxcl2/Spp1/Serpine1/Met/Rarres2/C3ar1/Ptpro/C5ar2/C5ar1/Tgfb1/Ntrk3/Fes/Rhog/Coro1a/Itgam/Adam8/Itgb2/Pip5k1c/F7/Myo9b/Ccl22/Cx3cl1/Cklf/Cmtm3/Lrtm1/Prkcd/Ear1/Ear10/Ear2/Lgals3/Egr3/Mycbp2/Gpr183/Tpbg/Ackr4/Ccrl2/Cmtm7/Ccr1/Ccr5/Dock2/Slit3/Arrb2/Cxcl16/Ccl2/Ccl7/Ccl5/Ccl9/Ccl6/Ccl3/Ccl4/Ccr7/Ccr10/Dusp3/Tubb2b/Nedd9/Ninj1/Sema4d/Syk/Pik3cg/Lgmn/Angpt1/Rac2/Bin2/Nr4a1/Nckap1l/St6gal1/App/Tiam1/Gpsm3/Aif1/Pla2g7/Trem1/Trem2/Vav1/Hbegf/Lox/Cd74/Csf1r/Anxa1",115
"GO:0042330","GO:0042330","taxis","115/2093","432/18384",0.266203703703704,2.33821733821734,10.088603223785,7.1329082516857e-19,3.22517190026219e-16,2.29639216264796e-16,"Nrp2/Fn1/Gpr35/Cxcr4/Fcgr3/Fcer1g/Slamf9/Slamf8/Camk1d/Prkcq/Tnfaip6/Ptprj/Spi1/Mdk/Thbs1/Il1b/Lbp/Prex1/Cxcr3/Cysltr1/Amot/S100a4/S100a8/Vav3/Ccn1/Lyn/Lpar1/Pde4b/Csf3r/Ptafr/Cnr2/Padi2/Pik3cd/Bst1/Stap1/Pf4/Cxcl2/Spp1/Serpine1/Met/Rarres2/C3ar1/Ptpro/C5ar2/C5ar1/Tgfb1/Ntrk3/Fes/Rhog/Coro1a/Itgam/Adam8/Itgb2/Pip5k1c/F7/Myo9b/Ccl22/Cx3cl1/Cklf/Cmtm3/Lrtm1/Prkcd/Ear1/Ear10/Ear2/Lgals3/Egr3/Mycbp2/Gpr183/Tpbg/Ackr4/Ccrl2/Cmtm7/Ccr1/Ccr5/Dock2/Slit3/Arrb2/Cxcl16/Ccl2/Ccl7/Ccl5/Ccl9/Ccl6/Ccl3/Ccl4/Ccr7/Ccr10/Dusp3/Tubb2b/Nedd9/Ninj1/Sema4d/Syk/Pik3cg/Lgmn/Angpt1/Rac2/Bin2/Nr4a1/Nckap1l/St6gal1/App/Tiam1/Gpsm3/Aif1/Pla2g7/Trem1/Trem2/Vav1/Hbegf/Lox/Cd74/Csf1r/Anxa1",115
"GO:0046651","GO:0046651","lymphocyte proliferation","94/2093","319/18384",0.294670846394984,2.58826031539675,10.2569202590106,8.47255628842054e-19,3.55726327595257e-16,2.53284840622256e-16,"Cd28/Slc11a1/Inpp5d/Cxcr4/Il10/Rassf5/Ptprc/Fcgr2b/Spta1/Prkcq/Mapk8ip1/Cd44/Rasgrp1/Il1b/Ada/Cd40/Nfatc2/Sash3/Elf4/Btk/Ptpn22/Vav3/Lyn/Laptm5/Tnfrsf1b/Bst1/P2rx7/Card11/Lep/Gpnmb/Ptpn6/Tgfb1/Tyrobp/Cd22/Cd37/Lrrc32/Coro1a/Spn/Itgal/Pycard/Itgam/Itgad/Tspan32/Zc3h12d/Arg1/Cd24a/Lilrb4b/Lilrb4a/Gja1/Vsir/Itgb2/Irs2/Adk/Prkcd/Lgals3/Ripk3/Gpr183/Tlr9/Dock2/Havcr2/Tnfrsf13b/Slfn2/Ccl5/Ccr7/Slc4a1/Cd300a/Syk/Cd180/Gapt/Fkbp1b/Il7r/Rac2/Nckap1l/Cd86/Cd80/Rasal3/H2-DMb2/H2-DMb1/H2-Aa/Cfb/Aif1/Lst1/H2-M3/Tnfrsf21/Plcl2/Ebi3/Cd74/Csf1r/Ccdc88b/Cd6/Anxa1/Dock8/Lipa/Gpam",94
"GO:0002696","GO:0002696","positive regulation of leukocyte activation","101/2093","362/18384",0.279005524861878,2.45066295702856,9.99167386454755,2.98736487746747e-18,1.17064871665025e-15,8.33527210723556e-16,"Il1rl1/Cd28/Inpp5d/Il10/Ptprc/Pla2g4a/Spta1/Dusp10/Prkcq/Spi1/Mdk/Rasgrp1/Thbs1/Il1b/Sirpa/Lbp/Ada/Cd40/Nfatc2/Sash3/Il2rg/Btk/Sirpb1a/Sirpb1b/Sirpb1c/Gm5150/Ptpn22/Vav3/Bst1/Tlr6/Rhoh/Stap1/Crlf2/Card11/Actb/Hsph1/Lep/Clec4d/Clec7a/Kcnn4/Tgfb1/Tyrobp/Nfkbid/Coro1a/Spn/Itgal/Pycard/Adam8/Ulbp1/Vnn1/Cd24a/Lilrb4b/Lilrb4a/Vsir/Stat6/Irs2/Jund/Adk/Shld2/Mmp14/Egr3/Gpr183/Tlr9/Havcr2/Nlrp3/Ccl2/Ccl5/Rara/Ccr7/Slc4a1/Cd300lb/Sox4/Cd83/Syk/Il7r/Nckap1l/Socs1/Cd86/Cd80/Runx1/Rasal3/H2-DMa/H2-DMb2/H2-DMb1/H2-Ab1/H2-Aa/H2-Eb1/Aif1/Tnf/H2-M3/Trem2/Vav1/Cd74/Csf1r/Cd226/Ccdc88b/Cd6/Anxa1/Dock8/Plpp6/Gpam",101
"GO:0097529","GO:0097529","myeloid leukocyte migration","75/2093","229/18384",0.327510917030568,2.87671318618727,10.2432189503881,4.28347895303042e-18,1.57364308036955e-15,1.12046791560848e-15,"Gpr35/Fcgr3/Fcer1g/Slamf8/Camk1d/Tnfaip6/Ptprj/Spi1/Mdk/Thbs1/Il1b/Sirpa/Lbp/Prex1/Tlr2/S100a8/Vav3/Mcoln2/Ptger3/Lyn/Pde4b/Csf3r/Bst1/Stap1/Pf4/Cxcl2/Spp1/Serpine1/Rarres2/C3ar1/Cd9/Ptpro/C5ar2/C5ar1/Itgam/Adam8/Enpp1/Itgb2/Cnn2/Myo9b/Ccl22/Cx3cl1/Cklf/Lgals3/Mmp14/Fut4/Ccr1/Abr/Ccl2/Ccl7/Ccl5/Ccl9/Ccl6/Ccl3/Ccl4/Ccr7/Cd300a/Ninj1/Syk/Pik3r1/Lgmn/Ptger4/Rac2/Nckap1l/Cd200r1/App/Myo1f/Aif1/Pla2g7/Trem1/Trem2/Vav1/Cd74/Csf1r/Anxa1",75
"GO:0032675","GO:0032675","regulation of interleukin-6 production","60/2093","165/18384",0.363636363636364,3.19402336793641,10.1470520688064,3.60645547461714e-17,1.2469850164588e-14,8.87880307558994e-15,"Inpp5d/Il10/Rab7b/Fcer1g/Cd84/Card9/Il1b/Sirpa/Lbp/Elf4/Btk/Tlr8/Tlr7/Tlr2/Ptpn22/Ccn1/Laptm5/Ptafr/Spon2/Tlr1/Tlr6/P2rx7/Met/Lep/Ptpn6/Clec7a/C5ar2/Pou2f2/Tgfb1/Tyrobp/Arrb1/Nlrp10/Pycard/Cd24a/Lilrb4b/Lilrb4a/Il27ra/Plcg2/Cyba/Il17d/Tlr9/Ccr5/Havcr2/Adora2b/Arrb2/Scimp/Tmem106a/Cd300ld/Syk/Isl1/Nckap1l/Cd200r1/App/Aif1/Tnf/Trem2/Ticam2/Cd74/Unc93b1/Afap1l2",60
"GO:0002443","GO:0002443","leukocyte mediated immunity","117/2093","466/18384",0.251072961373391,2.20531549062992,9.44643338359807,4.53425802620937e-17,1.48068714878104e-14,1.0542812814157e-14,"Cd28/Fzd5/Slc11a1/Inpp5d/Ptprc/Sh2d1b1/Fcgr2b/Fcgr4/Fcgr3/Fcer1g/Cd84/Slamf9/Exo1/Ptgds/Card9/Serping1/Spi1/Rasgrp1/Il1b/Cd40/Was/Sash3/Btk/Tlr2/Fcgr1/Cd2/Lyn/Svep1/Csf3r/Ptafr/Fgr/C1qb/C1qc/C1qa/Tnfrsf1b/Spon2/Stap1/Crlf2/P2rx7/Ncf1/Lat2/Lep/Ptpn6/Klrb1a/Klrb1b/Clec7a/Pirb/Bcl3/Pou2f2/Tgfb1/Tyrobp/Hcst/Fes/Il21r/Coro1a/Spn/Itgam/Ulbp1/H60b/Enpp1/Arg1/Cd24a/Lilrb4b/Lilrb4a/Vsir/Itgb2/Stat6/Hmox1/Il27ra/Plcg2/Prkcd/Shld2/Ripk3/Icam1/Hspa8/Cadm1/Ctsh/Tlr9/Myo1g/Havcr2/Nlrp3/Adora2b/Arrb2/Scimp/Abr/Ccl2/Slfn2/Ccl3/Milr1/Cd300a/Cd300lb/Unc13d/Serpinb9b/Syk/Pik3r1/Gapt/Rsad2/Il7r/Csf2rb2/Il2rb/Rac2/Nckap1l/Cd80/Myo1f/H2-DMa/Tnf/H2-Q10/H2-M3/Trem1/Trem2/Rftn1/C3/Vav1/Cd74/Cd226/Tcirg1/Unc93b1",117
"GO:0060326","GO:0060326","cell chemotaxis","87/2093","300/18384",0.29,2.54723363592929,9.68474549166879,5.08902845567446e-17,1.57438469802392e-14,1.1209959634217e-14,"Gpr35/Cxcr4/Fcgr3/Fcer1g/Slamf9/Slamf8/Camk1d/Prkcq/Tnfaip6/Ptprj/Spi1/Mdk/Thbs1/Il1b/Lbp/Prex1/Cxcr3/S100a8/Vav3/Lyn/Lpar1/Pde4b/Csf3r/Cnr2/Padi2/Bst1/Stap1/Pf4/Cxcl2/Spp1/Serpine1/Met/Rarres2/C3ar1/Ptpro/C5ar2/C5ar1/Rhog/Coro1a/Itgam/Adam8/Itgb2/F7/Myo9b/Ccl22/Cx3cl1/Cklf/Prkcd/Lgals3/Egr3/Gpr183/Tpbg/Ackr4/Ccrl2/Ccr1/Ccr5/Arrb2/Cxcl16/Ccl2/Ccl7/Ccl5/Ccl9/Ccl6/Ccl3/Ccl4/Ccr7/Ccr10/Nedd9/Ninj1/Syk/Lgmn/Rac2/Bin2/Nr4a1/Nckap1l/App/Tiam1/Gpsm3/Aif1/Pla2g7/Trem1/Vav1/Hbegf/Lox/Cd74/Csf1r/Anxa1",87
"GO:0002697","GO:0002697","regulation of immune effector process","110/2093","434/18384",0.253456221198157,2.22624900645337,9.26638291789611,1.96547770604056e-16,5.77653897805322e-14,4.11302071537752e-14,"Cd28/Fzd5/Il10/Ptprc/Sh2d1b1/Fcgr2b/Fcgr3/Fcer1g/Cd84/Slamf8/Dusp10/Card9/Serping1/Spi1/Rasgrp1/Il1b/Lbp/Cd40/Was/Cfp/Sash3/Btk/Tlr7/Tlr2/Cd5l/Fcgr1/Ptpn22/Lyn/Svep1/Laptm5/Ptafr/Fgr/Tnfrsf1b/Spon2/Stap1/Pf4/P2rx7/Ncf1/Lep/Irf5/Tril/Ptpn6/Klrb1a/Klrb1b/Clec7a/Tgfb1/Tyrobp/Nfkbid/Cd22/Cd37/Fes/Spn/Pycard/Itgam/Ulbp1/H60b/Arg1/Cd24a/Lilrb4b/Lilrb4a/Vsir/Itgb2/Stat6/Hmox1/Il27ra/Plcg2/Shld2/Lgals3/Ripk3/Panx1/Hspa8/Cadm1/Cgas/Tlr9/Havcr2/Nlrp3/Adora2b/Arrb2/Scimp/Abr/Ccl2/Rara/Ccr7/Dhx58/Grn/Cd300a/Unc13d/Serpinb9b/Syk/Rsad2/Tgfb3/Il7r/Angpt1/Rac2/Nckap1l/Masp1/Cd86/Cd80/H2-DMb2/H2-DMb1/Tnf/H2-Q10/H2-M3/Trem2/C3/Vav1/Cd74/Cd226/Anxa1/Rbp4",110
"GO:0032635","GO:0032635","interleukin-6 production","60/2093","173/18384",0.346820809248555,3.04632286537288,9.69279990378847,4.71570007215727e-16,1.31994690591145e-13,9.39830751222923e-14,"Inpp5d/Il10/Rab7b/Fcer1g/Cd84/Card9/Il1b/Sirpa/Lbp/Elf4/Btk/Tlr8/Tlr7/Tlr2/Ptpn22/Ccn1/Laptm5/Ptafr/Spon2/Tlr1/Tlr6/P2rx7/Met/Lep/Ptpn6/Clec7a/C5ar2/Pou2f2/Tgfb1/Tyrobp/Arrb1/Nlrp10/Pycard/Cd24a/Lilrb4b/Lilrb4a/Il27ra/Plcg2/Cyba/Il17d/Tlr9/Ccr5/Havcr2/Adora2b/Arrb2/Scimp/Tmem106a/Cd300ld/Syk/Isl1/Nckap1l/Cd200r1/App/Aif1/Tnf/Trem2/Ticam2/Cd74/Unc93b1/Afap1l2",60
