"","ID","Description","Count","GeneRatio","geneID"
"GO:0043473","GO:0043473","pigmentation",3,"3/363","Ednra/Dct/Sparc"
"GO:0044419","GO:0044419","biological process involved in interspecies interaction between organisms",40,"40/363","Ly96/Fmo1/Dusp10/Ube2l6/Cd40/Maob/Tspan6/Ifi44/Ptgfr/Cnr1/Nos3/Spon2/Lep/Bpgm/Snca/Adm/Cyp2e1/Fuca2/Vnn1/Cd24a/Smpdl3a/Cfd/Ednra/Ear2/Mmp3/Hba-a1/Hba-a2/Traf4/Ccl7/Nr1d1/Fasn/Pik3r1/Rsad2/Dgkb/Nr4a1/Fkbp5/Trim10/Pcx/Dtx4/Gpam"
"GO:0044848","GO:0044848","biological phase",1,"1/363","Trpv1"
"GO:0048511","GO:0048511","rhythmic process",18,"18/363","Npas2/Per2/Id1/Ciart/Kcna2/Per3/Nos3/Lep/Grin2b/Dbp/Bmal1/Retn/Per1/Serpinf1/Nr1d1/Map2k6/Nampt/Tef"
"GO:0048518","GO:0048518","positive regulation of biological process",126,"126/363","Ly96/Npas2/Irs1/Per2/Inhbb/Rgs2/Spta1/Dusp10/Ncs1/Cd59a/Map1a/Duoxa1/Id1/Foxs1/Trp53inp2/Ccn5/Cd40/Eya2/Maob/Timp1/Fgf13/Tspan6/Srpx2/Car2/Pex5l/Tent5c/Synpo2/Ddah1/Ptgfr/Cnr1/Col16a1/Nos3/Spon2/Cytl1/Tec/Bmp3/Cds1/Acacb/Aacs/Sh2b2/Fam20c/Pon1/Lep/Hilpda/Klf14/Mturn/Adcyap1r1/Snca/Gadd45a/Klf15/Clstn3/Grin2b/Peg3/Dbp/Pak1/Ric3/Adm/Bmal1/Spon1/Dcun1d3/Eya4/Vnn1/Cd24a/Smpdl3a/Sh3rf3/Cfd/Gadd45b/Lum/Retn/Adam3/Zdhhc2/Vegfc/Ednra/Nkd1/Lrtm1/Samd4/Or4m1/Slc25a37/Dct/Nalcn/Mmp3/Fxyd6/Sema7a/Dock2/Sparc/Per1/Trpv1/Trpv3/Serpinf1/Doc2b/Traf4/Vtn/Ccl7/Nr1d1/Mpp2/Slc4a1/Map2k6/Sfrp4/Ripor2/Gcnt2/Nedd9/Cd83/Thbs4/Lhfpl2/Pik3r1/Rsad2/Nampt/Fbln5/Angpt1/Sybu/Deptor/Mfng/Tef/Nr4a1/Abat/Trp63/Ezr/Smoc2/Thbs2/H2-DMb2/Ehd3/Dpysl3/Smad7/Pcx/Dock8/Gpam"
"GO:0048519","GO:0048519","negative regulation of biological process",116,"116/363","Fhl2/Irs1/Per2/Inhbb/Rgs2/Fmo1/Spta1/Grem2/Dusp10/Itih5/Pde11a/Slc43a1/Cd59a/Map1a/Id1/Foxs1/Trp53inp2/Ccn5/Eya2/Pmepa1/Maob/Timp1/Fgf13/Dusp9/Tspan6/Chrdl1/Ciart/Tent5c/Ddah1/Ptgfr/Cnr1/Per3/Nos3/Cgref1/Zfyve28/Htra3/Acacb/Sh2b2/Tfpi2/Peg10/Lep/Adcyap1r1/Snca/Gadd45a/Klf15/Srgap3/Clstn3/Grin2b/Peg3/Apoc1/Pak1/Adm/Bmal1/Spon1/Dcun1d3/Tlcd3b/Eya4/Cd24a/Smpdl3a/Gadd45b/Retn/Vegfc/Ednra/Nkd1/Zfp503/Samd4/Hr/Mmp3/Cryab/Cilp/Dclk3/Sparc/Per1/Trpv1/Trpv3/Rap1gap2/Serpinf1/Vtn/Nr1d1/Slc4a1/Map2k6/Pycr1/Sfrp4/Ripor2/Gcnt2/Nedd9/Cd83/Rnf144b/Thbs4/Pik3r1/Rsad2/Nampt/Fbln5/Serpina3i/Retreg1/Angpt1/Tnfrsf11b/Deptor/Rnd1/Nr4a1/Abat/Trp63/Gbe1/Ezr/Thbs2/Tcp11/Trim10/Nfkbie/Dpysl3/Lox/Smad7/Pcx/Dtx4/Dock8/Sfrp5/Gpam"
"GO:0050789","GO:0050789","regulation of biological process",198,"198/363","Ly96/Npas2/Fhl2/Irs1/Per2/Inhbb/Rgs2/Cacna1e/Fmo1/Spta1/Grem2/Dusp10/Itih5/Ncs1/Pde11a/Slc43a1/Cd59a/Map1a/Duoxa1/Ralgapa2/Id1/Foxs1/Trp53inp2/Ccn5/Cd40/Eya2/Pmepa1/Syp/Maob/Timp1/Fgf13/Dusp9/Tspan6/Srpx2/Chrdl1/Car2/Pex5l/Ciart/Tent5c/Kcna2/Synpo2/Sgms2/Ddah1/Ptgfr/Gabrr2/Cnr1/Mycl/Col16a1/Per3/Nos3/Cgref1/Spon2/Zfyve28/Htra3/Cytl1/Tec/Bmp3/Cds1/Acacb/Aacs/Sh2b2/Fam20c/Tfpi2/Peg10/Pon1/Lep/Hilpda/Mest/Klf14/Mturn/Adcyap1r1/Snca/Gadd45a/Klf15/Srgap3/Iqsec3/Clstn3/Grin2b/Mgp/Peg3/Apoc1/Dbp/Pak1/Hbb-b1/Ric3/Adm/Bmal1/Spon1/Dcun1d3/Tlcd3b/Or13a25/Fuca2/Eya4/Vnn1/Cd24a/Smpdl3a/Sh3rf3/Cfd/Gadd45b/Gna15/Lum/Retn/Adam3/Zdhhc2/Vegfc/Ednra/Gypa/Nkd1/Zfp503/Lrtm1/Tkt/Grid1/Samd4/Or4m1/Slc25a37/Hr/Dct/Nalcn/Itgbl1/Mmp3/Fxyd6/Cryab/Nrg4/Sema7a/Cilp/Me1/Dclk3/Dock2/Sparc/Glp2r/Per1/Trpv1/Trpv3/Rap1gap2/Serpinf1/Doc2b/Traf4/Vtn/Ccl7/Nr1d1/Cntnap1/Mpp2/Slc4a1/Myl4/Map2k6/Pycr1/Sfrp4/Ripor2/Gcnt2/Nedd9/Cd83/Rnf144b/Thbs4/Lhfpl2/Iqgap2/Pik3r1/Rsad2/Nampt/Dgkb/Fbln5/Serpina3i/Crip1/Retreg1/Angpt1/Sybu/Tnfrsf11b/Deptor/Lynx1/Mfng/Tef/Rnd1/Nr4a1/Ppp1r1a/Abat/Prodh/Trp63/Gpr156/Vgll3/Gbe1/Ezr/Smoc2/Thbs2/Tcp11/H2-DMb2/Trim10/Nfkbie/Slc5a7/Ehd3/Dpysl3/Lox/Mc5r/Mc2r/Smad7/Pcx/Dtx4/Dock8/Sfrp5/Gpam"
"GO:0050896","GO:0050896","response to stimulus",173,"173/363","Ly96/Gsta3/Npas2/Fhl2/Irs1/Per2/Inhbb/Prelp/Rgs2/Cacna1e/Fmo1/Grem2/Dusp10/Ncs1/Slc25a25/Pde11a/Ube2l6/Cd59a/Duoxa1/Ralgapa2/Id1/Ccn5/Cd40/Eya2/Pmepa1/Syp/Maob/Timp1/Fgf13/Dusp9/Tspan6/Chrdl1/Apex2/Alas2/Car2/Pex5l/Ddah1/Ifi44/Ptgfr/Cnr1/Col16a1/Per3/Nos3/Spon2/Zfyve28/Htra3/Sod3/Tec/Bmp3/Acacb/Aacs/Sh2b2/Fam20c/Tfpi2/Peg10/Pon1/Lep/Hilpda/Mest/Klf14/Bpgm/Mturn/Adcyap1r1/Snca/Gadd45a/Klf15/Srgap3/Iqsec3/Grin2b/Gys2/Cyp2f2/Bcat2/Pak1/Hbb-b1/Adm/Bmal1/Dcun1d3/Or13a25/Cyp2e1/Fuca2/Map7/Eya4/Vnn1/Cd24a/Smpdl3a/Sh3rf3/Cfd/Gadd45b/Gna15/Retn/Vegfc/Ednra/Gypa/Nkd1/Lrtm1/Anxa8/Ear2/Or4m1/Dct/Itgbl1/Mmp3/Cryab/Nrg4/Sema7a/Cilp/Me1/Pcolce2/Alas1/Dclk3/Hba-a1/Hba-a2/Dock2/Sparc/Glp2r/Per1/Trpv1/Trpv3/Rap1gap2/Serpinf1/Traf4/Vtn/Ccl7/Acaca/Nr1d1/Mpp2/Slc4a1/Map2k6/Pycr1/Fasn/Sfrp4/Ripor2/Gcnt2/Nedd9/Cd83/Thbs4/Iqgap2/Pik3r1/Hmgcs1/Rsad2/Nampt/Dgkb/Fbln5/Unc79/Serpina3i/Crip1/Angpt1/Sybu/Tnfrsf11b/Deptor/Lynx1/Mfng/Rnd1/Nr4a1/Ppp1r1a/Abat/Prodh/Trp63/Gpr156/Ezr/Smoc2/Tcp11/Fkbp5/H2-DMb2/Trim10/Dpysl3/Lox/Mc5r/Mc2r/Smad7/Dtx4/Dock8/Sfrp5/Gpam"
"GO:0051179","GO:0051179","localization",101,"101/363","Myo1b/Irs1/Per2/Inhbb/Tmem37/Rgs2/Cacna1e/Ncs1/Slc25a25/Slc43a1/Map1a/Duoxa1/Ralgapa2/Trp53inp2/Eya2/Syp/Maob/Fgf13/Chrdl1/Car2/Pex5l/S100a6/Kcna2/Prss12/Gabrr2/Cnr1/Nos3/Slc5a6/Spon2/Stbd1/Cds1/Acacb/Aacs/Sh2b2/Peg10/Pon1/Lep/Hilpda/Mest/Bpgm/Adcyap1r1/Snca/Klf15/Nup210/Clstn3/Grin2b/Apoc1/Siglech/Mfge8/Pak1/Hbb-b1/Ric3/Adm/Bmal1/Map7/Cd24a/Retn/Zdhhc2/Vegfc/Ednra/Anxa8/Grid1/Slc25a37/Nalcn/Fxyd6/Cryab/Esyt3/Dclk3/Hba-a1/Dock2/Per1/Trpv1/Trpv3/Doc2b/Vtn/Abcc3/Arl5c/Nr1d1/Cntnap1/Slc4a1/Map2k6/Slc25a10/Sfrp4/Ripor2/Nedd9/Klhl3/Pik3r1/Rsad2/Fbln5/Angpt1/Sybu/Tst/Nr4a1/Abat/Slc25a1/Ezr/Tcp11/Nfkbie/Slc5a7/Ehd3/Smad7"
"GO:0051703","GO:0051703","biological process involved in intraspecies interaction between organisms",1,"1/363","Grid1"
"GO:0065007","GO:0065007","biological regulation",203,"203/363","Ly96/Npas2/Fhl2/Irs1/Per2/Inhbb/Rgs2/Cacna1e/Fmo1/Spta1/Grem2/Dusp10/Itih5/Ncs1/Pde11a/Slc43a1/Cd59a/Map1a/Duoxa1/Ralgapa2/Id1/Foxs1/Trp53inp2/Ccn5/Cd40/Eya2/Pmepa1/Syp/Maob/Timp1/Fgf13/Dusp9/Tspan6/Srpx2/Chrdl1/Car2/Pex5l/Ciart/Tent5c/Kcna2/Synpo2/Enpep/Sgms2/Ddah1/Ptgfr/Gabrr2/Cnr1/Mycl/Col16a1/Per3/Nos3/Cgref1/Spon2/Zfyve28/Htra3/Cytl1/Sod3/Tec/Bmp3/Cds1/Acacb/Aacs/Sh2b2/Fam20c/Tfpi2/Peg10/Pon1/Lep/Hilpda/Mest/Klf14/Mturn/Adcyap1r1/Snca/Gadd45a/Klf15/Srgap3/Iqsec3/Clstn3/Grin2b/Mgp/Peg3/Apoc1/Bcat2/Dbp/Pak1/Hbb-b1/Ric3/Adm/Bmal1/Spon1/Dcun1d3/Tlcd3b/Or13a25/Fuca2/Eya4/Vnn1/Cd24a/Smpdl3a/Sh3rf3/Cfd/Pcsk4/Gadd45b/Gna15/Lum/Retn/Adam3/Zdhhc2/Vegfc/Ednra/Gypa/Nkd1/Zfp503/Lrtm1/Tkt/Anxa8/Grid1/Samd4/Or4m1/Slc25a37/Hr/Dct/Nalcn/Itgbl1/Mmp3/Fxyd6/Cryab/Nrg4/Sema7a/Cilp/Me1/Dclk3/Dock2/Sparc/Glp2r/Per1/Trpv1/Trpv3/Rap1gap2/Serpinf1/Doc2b/Traf4/Vtn/Ccl7/Nr1d1/Cntnap1/Mpp2/Slc4a1/Myl4/Map2k6/Pycr1/Sfrp4/Ripor2/Gcnt2/Nedd9/Cd83/Rnf144b/Thbs4/Lhfpl2/Iqgap2/Pik3r1/Rsad2/Nampt/Dgkb/Fbln5/Serpina3i/Crip1/Retreg1/Angpt1/Sybu/Tnfrsf11b/Deptor/Lynx1/Mfng/Tef/Rnd1/Nr4a1/Ppp1r1a/Abat/Prodh/Trp63/Gpr156/Vgll3/Gbe1/Ezr/Smoc2/Thbs2/Tcp11/H2-DMb2/Trim10/Nfkbie/Slc5a7/Ehd3/Dpysl3/Lox/Mc5r/Mc2r/Smad7/Pcx/Dtx4/Dock8/Sfrp5/Gpam"
"GO:0098754","GO:0098754","detoxification",4,"4/363","Gsta3/Nos3/Sod3/Fbln5"
